Frequency (Hz)	Level (dB)
878.906250	-55.853630
879.882812	-55.691875
880.859375	-54.674923
881.835938	-54.328041
882.812500	-55.162945
883.789062	-54.473183
884.765625	-54.366371
885.742188	-54.275322
886.718750	-53.809971
887.695312	-54.439980
888.671875	-52.980755
889.648438	-51.917507
890.625000	-54.088058
891.601562	-53.340488
892.578125	-52.946224
893.554688	-52.977859
894.531250	-52.218483
895.507812	-51.874397
896.484375	-51.747711
897.460938	-51.556610
898.437500	-51.259907
899.414062	-50.635899
900.390625	-49.806656
901.367188	-48.272354
902.343750	-48.232635
903.320312	-48.702808
904.296875	-48.207512
905.273438	-47.220215
906.250000	-46.084587
907.226562	-46.405418
908.203125	-47.129406
909.179688	-46.526207
910.156250	-46.547939
911.132812	-45.566002
912.109375	-43.973564
913.085938	-46.528194
914.062500	-45.835621
915.039062	-45.781616
916.015625	-47.451183
916.992188	-45.310181
917.968750	-45.615150
918.945312	-46.866547
919.921875	-46.895550
920.898438	-46.473564
921.875000	-47.667152
922.851562	-49.057793
923.828125	-47.405979
924.804688	-48.637154
925.781250	-48.846725
926.757812	-48.666218
927.734375	-50.256363
928.710938	-50.866928
929.687500	-50.154747
930.664062	-50.823921
931.640625	-50.744831
932.617188	-50.838791
933.593750	-51.780304
934.570312	-51.745541
935.546875	-51.382179
936.523438	-51.744682
937.500000	-52.633694
938.476562	-52.220169
939.453125	-52.926235
940.429688	-53.191551
941.406250	-53.368198
942.382812	-52.873810
943.359375	-54.475788
944.335938	-55.094933
945.312500	-53.995529
946.289062	-54.384651
947.265625	-53.748306
948.242188	-54.655167
949.218750	-54.335613
950.195312	-53.888130
951.171875	-54.952534
952.148438	-55.268661
953.125000	-54.403664
954.101562	-55.829147
955.078125	-55.147358
956.054688	-55.012901
957.031250	-54.194981
958.007812	-55.639904
958.984375	-55.263447
959.960938	-57.125805
960.937500	-57.102844
961.914062	-56.444927
962.890625	-55.592163
963.867188	-54.937908
964.843750	-55.340347
965.820312	-56.195148
966.796875	-56.460346
967.773438	-57.298832
968.750000	-57.082020
969.726562	-56.197823
970.703125	-55.442997
971.679688	-56.447605
972.656250	-56.143517
973.632812	-55.594662
974.609375	-55.315002
975.585938	-56.343040
976.562500	-56.360100
977.539062	-55.949013
978.515625	-55.862614
979.492188	-55.304222
980.468750	-55.287476
981.445312	-55.881458
982.421875	-56.214260
983.398438	-55.522285
984.375000	-57.139759
985.351562	-56.392803
986.328125	-55.706680
987.304688	-54.487057
988.281250	-56.425484
989.257812	-57.490768
990.234375	-55.879604
991.210938	-55.689156
992.187500	-54.748817
993.164062	-55.538464
994.140625	-55.903515
995.117188	-55.189602
